delta,source,n,pq_win_rate,pq_loss_rate,mean_delta_pq,median_delta_pq,mean_delta_aji,median_delta_aji,mean_delta_dice,median_delta_dice
crop_coarse_reinsertion_over_proposal_map,ALL,1795,0.022284122562674,0.0239554317548746,-3.186031612597677e-07,0.0,1.5167855649319046e-06,0.0,0.0,0.0
crop_coarse_reinsertion_over_proposal_map,cellpose,147,0.272108843537415,0.2925170068027211,-3.890426356879476e-06,0.0,1.8521293122807952e-05,0.0,0.0,0.0
crop_coarse_reinsertion_over_proposal_map,dsb2018,142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crop_coarse_reinsertion_over_proposal_map,livecell,149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crop_coarse_reinsertion_over_proposal_map,tissuenet,1357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_proposal_selection_over_raw_watershed,ALL,1795,0.6545961002785515,0.007242339832869,0.0201838896462855,0.0029544041898179,0.0076530550561751,0.0001348814909057,0.0006917591874972,0.0
current_proposal_selection_over_raw_watershed,cellpose,147,0.9931972789115646,0.0068027210884353,0.1929453769273482,0.1781429671716543,0.0740139846629757,0.0574745278658428,0.0067239387442766,0.0085574603987621
current_proposal_selection_over_raw_watershed,dsb2018,142,0.2605633802816901,0.0,0.0045821183759996,0.0,0.0001525859593035,0.0,3.788546295227943e-05,0.0
current_proposal_selection_over_raw_watershed,livecell,149,0.7651006711409396,0.0134228187919463,0.0043189581340096,0.002718799835487,0.001258932947171,0.0001694655881593,0.0003323147931107,0.0
current_proposal_selection_over_raw_watershed,tissuenet,1357,0.6470154753131908,0.0073691967575534,0.0048437184490809,0.0025659171135309,0.0019513116175588,0.0001121767892325,0.0001462005204393,0.0
edt_watershed_over_semantic_cc,ALL,1795,0.9643454038997216,0.0328690807799442,0.4492880294689552,0.49363497517979,0.5205195716833468,0.5494572539721144,-0.0006653425766745,-0.0001970602954625
edt_watershed_over_semantic_cc,cellpose,147,0.8843537414965986,0.1156462585034013,0.3598258578330122,0.435815951368649,0.570386138076697,0.6001459894686365,0.0004534952116813,0.0001929027091805
edt_watershed_over_semantic_cc,dsb2018,142,0.7605633802816901,0.2253521126760563,0.0614845981138538,0.0494120089688162,0.1530491607996874,0.136483211612432,-1.4826388209226758e-05,-3.311674542511023e-05
edt_watershed_over_semantic_cc,livecell,149,1.0,0.0,0.4423563920984708,0.4536699060508405,0.4963373540099776,0.4955557759794743,-0.0004280139003287,-2.619850904350685e-05
edt_watershed_over_semantic_cc,tissuenet,1357,0.9904200442151806,0.0073691967575534,0.5003210732796481,0.5234408107391212,0.5562259560009513,0.5741324668307919,-0.0008806737678506,-0.0002904139322004
sam2_refinement_over_coarse_no_sam2,ALL,1795,0.309192200557103,0.3041782729805014,-0.0002887785424593,0.0,0.0011739084172184,0.0008242337993221,-0.0008201786081694,-0.0003349823132458
sam2_refinement_over_coarse_no_sam2,cellpose,147,0.2040816326530612,0.2040816326530612,0.0001845311986002,0.0,0.0001720357072752,0.0,-8.030071106083935e-06,0.0
sam2_refinement_over_coarse_no_sam2,dsb2018,142,0.0845070422535211,0.1197183098591549,-0.0001547049169451,0.0,-0.0002263908249499,0.0,-2.2260054800666436e-05,0.0
sam2_refinement_over_coarse_no_sam2,livecell,149,0.348993288590604,0.4228187919463087,0.0001049852179718,0.0,0.0010564025126015,0.0004343105614238,-0.0006784916977461,-0.0002413174077438
sam2_refinement_over_coarse_no_sam2,tissuenet,1357,0.3397199705232129,0.3212969786293294,-0.0003973163369051,0.0,0.0014418716895379,0.0011898922326355,-0.0010072100150815,-0.0005816798055
