source,samcell_method,baseline_method,n,samcell_pq,baseline_pq,delta_pq,samcell_aji,baseline_aji,delta_aji,samcell_dice,baseline_dice,delta_dice
ALL,samcell_refine_final,cellpose_official_cyto3,16777,0.6083056641278347,0.3343458181920663,0.2739598459357684,0.6182878545263122,0.30478038690567677,0.3135074676206354,0.8657230203902424,0.5314693450256859,0.3342536753645565
ALL,samcell_refine_final,cellsam_generalist,16777,0.6083056641278347,0.538884517283234,0.06942114684460066,0.6182878545263122,0.5248209538004489,0.09346690072586328,0.8657230203902424,0.7615980136927044,0.10412500669753799
cellpose,samcell_refine_final,cellpose_official_cyto3,540,0.7787768086100102,0.7188881006947422,0.059888707915268014,0.8028965820681254,0.7317986937344553,0.07109788833367015,0.9502978178522188,0.9041120392260927,0.04618577862612605
cellpose,samcell_refine_final,cellsam_generalist,540,0.7787768086100102,0.6487053764298524,0.13007143218015782,0.8028965820681254,0.6529832046003171,0.1499133774678083,0.9502978178522188,0.8761528562014009,0.07414496165081785
dsb2018,samcell_refine_final,cellpose_official_cyto3,670,0.8317074804046648,0.7498307870781001,0.08187669332656466,0.8593378874794719,0.760935157909646,0.09840272956982588,0.9577755601244937,0.88572786468893,0.07204769543556377
dsb2018,samcell_refine_final,cellsam_generalist,670,0.8317074804046648,0.7100742954149494,0.12163318498971543,0.8593378874794719,0.7257360953775898,0.13360179210188217,0.9577755601244937,0.8769405267459216,0.08083503337857212
livecell,samcell_refine_final,cellpose_official_cyto3,1000,0.6103659305675526,0.6533048266891979,-0.042938896121645254,0.5963662993439084,0.6362697128567675,-0.03990341351285909,0.9229922762368176,0.8981184708459146,0.024873805390903003
livecell,samcell_refine_final,cellsam_generalist,1000,0.6103659305675526,0.32226371029802275,0.28810222026952986,0.5963662993439084,0.2648492913795652,0.3315170079643432,0.9229922762368176,0.614238949471081,0.3087533267657365
pannuke,samcell_refine_final,cellpose_official_cyto3,7558,0.5749580604051403,0.24993440339366818,0.3250236570114721,0.593369403716422,0.21717544617086715,0.37619395754555485,0.8079260271799661,0.37801629763585354,0.42990972954411255
pannuke,samcell_refine_final,cellsam_generalist,7558,0.5749580604051403,0.4300545321672277,0.14490352823791258,0.593369403716422,0.3944974491948336,0.1988719545215884,0.8079260271799661,0.6343153303889498,0.17361069679101626
tissuenet,samcell_refine_final,cellpose_official_cyto3,7009,0.6094823352036736,0.31051855365277026,0.2989637815509033,0.6110204799297018,0.2754488465807232,0.33557163334897855,0.9045609183193732,0.582056981394573,0.3225039369248003
tissuenet,samcell_refine_final,cellsam_generalist,7009,0.6094823352036736,0.6623197318936729,-0.052837396689999316,0.6110204799297018,0.6733636774331372,-0.06234319750343542,0.9045609183193732,0.9000232506638911,0.004537667655482136
